epoch,train_loss,val_loss,val_match,val_op_acc,wall_s
0,3.7410,2.7512,,,4.6
1,2.9000,2.6529,,,9.2
2,2.6367,2.6058,,,13.8
3,2.5470,2.4631,,,18.4
4,2.4176,2.3957,0.5111,0.3568,23.2
5,2.4205,2.4850,,,27.8
6,2.4549,2.3533,,,32.5
7,2.2990,2.3248,,,37.2
8,2.1921,2.5783,,,42.1
9,2.2057,2.7933,0.4889,0.3568,46.8
10,2.1568,2.3220,,,51.6
11,2.1196,2.2487,,,56.1
12,2.0484,2.3873,,,60.8
13,2.0497,2.3813,,,65.5
14,1.9361,2.3942,0.5111,0.3983,70.4
15,1.9487,2.5445,,,75.1
16,1.9485,2.4537,,,79.7
17,1.9492,2.3929,,,84.2
18,1.8627,2.5958,,,88.8
19,1.8324,2.3475,0.5222,0.5436,93.4
20,1.7930,2.4281,,,97.9
21,1.7578,2.6255,,,102.3
22,1.8116,3.0812,,,106.8
23,1.7219,3.0677,,,111.3
24,1.6738,2.5016,0.5111,0.5104,115.8
25,1.6691,2.9332,,,120.4
26,1.6492,2.9872,,,124.9
27,1.5174,2.8711,,,129.3
28,1.5286,2.8422,,,133.8
29,1.5392,2.7450,0.5111,0.5768,138.4
30,1.4646,2.7729,,,143.0
31,1.4226,3.2114,,,147.5
32,1.4699,2.7363,,,152.0
33,1.3754,2.9717,,,156.5
34,1.3376,3.1087,0.5111,0.5311,161.0
35,1.3063,3.2330,,,165.6
36,1.3337,3.0824,,,170.2
37,1.2552,3.0425,,,175.1
38,1.3331,3.0223,,,180.0
39,1.1446,3.4364,0.5222,0.5519,184.8
40,1.1276,2.9454,,,189.4
41,1.1568,2.8445,,,194.2
42,1.0990,3.3762,,,199.0
43,1.0537,3.3000,,,203.6
44,1.0647,3.4825,0.5111,0.5602,208.2
45,1.0043,3.6188,,,212.7
46,0.9924,3.5183,,,217.2
47,1.0291,3.4771,,,221.6
48,0.9334,3.3813,,,226.1
49,0.9635,3.6697,0.5333,0.5643,230.6
50,0.9591,4.0348,,,235.3
51,0.8846,3.2763,,,239.8
52,0.8984,4.1234,,,244.3
53,0.8846,3.2585,,,248.8
54,0.8163,4.1077,0.5222,0.5187,253.4
55,0.8014,4.0905,,,257.9
56,0.8409,3.4396,,,262.5
57,0.7867,3.0178,,,267.0
58,0.7654,4.0570,,,271.5
59,0.9347,3.7340,0.5444,0.5436,276.1
